iter	Passed	Remaining
1102	5413	476
1103	5416	471
1104	5419	465
1105	5422	460
1106	5424	455
1107	5427	450
1108	5431	445
1109	5434	440
1110	5437	435
1111	5439	430
1112	5443	425
1113	5447	420
1114	5450	415
1115	5454	410
1116	5456	405
1117	5459	400
1118	5462	395
1119	5467	390
1120	5469	385
1121	5474	380
1122	5478	375
1123	5482	370
1124	5484	365
1125	5487	360
1126	5490	355
1127	5492	350
1128	5496	345
1129	5499	340
1130	5502	335
1131	5505	330
1132	5508	325
1133	5511	320
1134	5515	315
1135	5518	310
1136	5521	305
1137	5525	301
1138	5530	296
1139	5535	291
1140	5538	286
1141	5541	281
1142	5545	276
1143	5549	271
1144	5553	266
1145	5557	261
1146	5560	256
1147	5563	252
1148	5568	247
1149	5570	242
1150	5573	237
1151	5577	232
1152	5580	227
1153	5584	222
1154	5588	217
1155	5593	212
1156	5597	208
1157	5601	203
1158	5604	198
1159	5608	193
1160	5610	188
1161	5614	183
1162	5617	178
1163	5622	173
1164	5625	169
1165	5628	164
1166	5631	159
1167	5634	154
1168	5639	149
1169	5642	144
1170	5647	139
1171	5655	135
1172	5659	130
1173	5664	125
1174	5666	120
1175	5669	115
1176	5672	110
1177	5676	106
1178	5681	101
1179	5684	96
1180	5689	91
1181	5694	86
1182	5697	81
1183	5700	77
1184	5709	72
1185	5712	67
1186	5718	62
1187	5721	57
1188	5726	52
1189	5733	48
1190	5739	43
1191	5742	38
1192	5745	33
1193	5749	28
1194	5752	24
1195	5754	19
1196	5757	14
1197	5760	9
1198	5764	4
1199	5768	0
